PGN,ECO,NAME,FEN
1. Nf3 d5 2. a4,A06,Zukertort Opening: The Potato,rnbqkbnr/ppp1pppp/8/3p4/P7/5N2/1PPPPPPP/RNBQKB1R
1. g3 d5 2. Nf3 g5,A07,Hungarian Opening: Wiedenhagen-Beta Gambit,rnbqkbnr/ppp1pp1p/8/3p2p1/8/5NP1/PPPPPP1P/RNBQKB1R
1. Nf3 d5 2. g3,A07,King's Indian Attack,rnbqkbnr/ppp1pppp/8/3p4/8/5NP1/PPPPPP1P/RNBQKB1R
1. Nf3 d5 2. g3 g6,A07,King's Indian Attack: Double Fianchetto,rnbqkbnr/ppp1pp1p/6p1/3p4/8/5NP1/PPPPPP1P/RNBQKB1R
1. Nf3 d5 2. g3 Bg4,A07,King's Indian Attack: Keres Variation,rn1qkbnr/ppp1pppp/8/3p4/6b1/5NP1/PPPPPP1P/RNBQKB1R
1. Nf3 d5 2. g3 Bg4 3. Bg2 Nd7,A07,King's Indian Attack: Keres Variation,r2qkbnr/pppnpppp/8/3p4/6b1/5NP1/PPPPPPBP/RNBQK2R
1. Nf3 d5 2. g3 e5,A07,King's Indian Attack: Omega-Delta Gambit,rnbqkbnr/ppp2ppp/8/3pp3/8/5NP1/PPPPPP1P/RNBQKB1R
1. Nf3 d5 2. g3 g6 3. Bg2 Bg7 4. O-O e5 5. d3 Ne7,A07,King's Indian Attack: Pachman System,rnbqk2r/ppp1npbp/6p1/3pp3/8/3P1NP1/PPP1PPBP/RNBQ1RK1
1. Nf3 d5 2. g3 c5,A07,King's Indian Attack: Sicilian Variation,rnbqkbnr/pp2pppp/8/2pp4/8/5NP1/PPPPPP1P/RNBQKB1R
1. Nf3 Nf6 2. g3 d5 3. Bg2 c6 4. O-O Bg4,A07,King's Indian Attack: Yugoslav Variation,rn1qkb1r/pp2pppp/2p2n2/3p4/6b1/5NP1/PPPPPPBP/RNBQ1RK1
1. Nf3 d5 2. g3 c5 3. Bg2 Nc6,A08,King's Indian Attack: French Variation,r1bqkbnr/pp2pppp/2n5/2pp4/8/5NP1/PPPPPPBP/RNBQK2R
1. e4 e6 2. d3 d5 3. Nd2 Nf6 4. Ngf3 c5 5. g3 Nc6 6. Bg2 Be7 7. O-O O-O 8. Re1,A08,King's Indian Attack: Sicilian Variation,r1bq1rk1/pp2bppp/2n1pn2/2pp4/4P3/3P1NP1/PPPN1PBP/2BQRRK1
1. Nf3 d5 2. g3 c5 3. Bg2,A08,King's Indian Attack: Sicilian Variation,rnbqkbnr/pp2pppp/8/2pp4/8/5NP1/PPPPPPBP/RNBQK2R
1. Nf3 d5 2. g3 c5 3. Bg2 Nf6 4. O-O e6 5. d3,A08,King's Indian Attack: Sicilian Variation,rnbqkb1r/pp3ppp/4pn2/2pp4/8/3P1NP1/PPP1PPBP/RNBQ1RK1
1. Nf3 d5 2. g3 c5 3. Bg2 Nc6 4. d4,A08,Zukertort Opening: Reversed Gr?feld,r1bqkbnr/pp2pppp/2n5/2pp4/3P4/5NP1/PPP1PPBP/RNBQK2R
1. Nf3 d5 2. g3 c5 3. Bg2 Nc6 4. d4 Nf6,A08,Zukertort Opening: Reversed Gr?feld,r1bqkb1r/pp2pppp/2n2n2/2pp4/3P4/5NP1/PPP1PPBP/RNBQK2R
1. Nf3 d5 2. g3 c5 3. Bg2 Nc6 4. d4 Nf6 5. O-O,A08,Zukertort Opening: Reversed Gr?feld,r1bqkb1r/pp2pppp/2n2n2/2pp4/3P4/5NP1/PPP1PPBP/RNBQ1RK1
1. Nf3 d5 2. g3 c5 3. Bg2 Nc6 4. d4 e6 5. O-O,A08,Zukertort Opening: Reversed Gr?feld,r1bqkbnr/pp3ppp/2n1p3/2pp4/3P4/5NP1/PPP1PPBP/RNBQ1RK1
1. Nf3 d5 2. c4,A09,R?i Opening,rnbqkbnr/ppp1pppp/8/3p4/2P5/5N2/PP1PPPPP/RNBQKB1R
1. Nf3 d5 2. c4 d4,A09,R?i Opening: Advance Variation,rnbqkbnr/ppp1pppp/8/8/2Pp4/5N2/PP1PPPPP/RNBQKB1R
1. Nf3 d5 2. c4 d4 3. b4 c5,A09,R?i Opening: Advance Variation; Michel Gambit,rnbqkbnr/pp2pppp/8/2p5/1PPp4/5N2/P2PPPPP/RNBQKB1R
1. Nf3 d5 2. c4 d4 3. Rg1,A09,R?i Opening: Penguin Variation,rnbqkbnr/ppp1pppp/8/8/2Pp4/5N2/PP1PPPPP/1NBQKBRR
1. Nf3 d5 2. c4 d4 3. e3 c5 4. b4,A09,R?i Opening: Reversed Blumenfeld Gambit,rnbqkbnr/pp2pppp/8/2p5/1PPp4/4PN2/P2P1PPP/RNBQKB1R
1. Nf3 d5 2. c4 dxc4,A09,R?i Opening: R?i Accepted,rnbqkbnr/ppp1pppp/8/8/2p5/5N2/PP1PPPPP/RNBQKB1R
1. Nf3 d5 2. c4 dxc4 3. e3 Be6,A09,R?i Opening: R?i Gambit; Keres Variation,rn1qkbnr/ppp1pppp/4b3/8/2p5/4PN2/PP1P1PPP/RNBQKB1R
1. Nf3 d5 2. c4 b5,A09,R?i Opening: Zilbermints Gambit,rnbqkbnr/p1p1pppp/8/1p1p4/2P5/5N2/PP1PPPPP/RNBQKB1R
1. c4,A10,English Opening,rnbqkbnr/pppppppp/8/8/2P5/8/PP1PPPPP/RNBQKBNR
1. c4 Nf6 2. e4,A10,English Opening: Achilles-Omega Gambit,rnbqkb1r/pppppppp/5n2/8/2P1P3/8/PP1P1PPP/RNBQKBNR
1. c4 g6 2. e4 e5,A10,English Opening: Adorjan Defense,rnbqkbnr/pppp1p1p/6p1/4p3/2P1P3/8/PP1P1PPP/RNBQKBNR
1. c4 f5,A10,English Opening: Anglo-Dutch Defense,rnbqkbnr/ppppp1pp/8/5p2/2P5/8/PP1PPPPP/RNBQKBNR
1. c4 f5 2. e4,A10,English Opening: Anglo-Dutch Defense; Hickmann Gambit,rnbqkbnr/ppppp1pp/8/5p2/2P1P3/8/PP1P1PPP/RNBQKBNR
1. c4 f5 2. Nf3 d6 3. e4,A10,English Opening: Anglo-Dutch Variation; Chabanon Gambit,rnbqkbnr/ppp1p1pp/3p4/5p2/2P1P3/5N2/PP1P1PPP/RNBQKB1R
1. c4 f5 2. Nc3 Nf6 3. e4,A10,English Opening: Anglo-Dutch Variation; Ferenc Gambit,rnbqkb1r/ppppp1pp/5n2/5p2/2P1P3/2N5/PP1P1PPP/R1BQKBNR
1. c4 Nc6,A10,English Opening: Anglo-Lithuanian Variation,r1bqkbnr/pppppppp/2n5/8/2P5/8/PP1PPPPP/RNBQKBNR
1. c4 d5,A10,English Opening: Anglo-Scandinavian Defense,rnbqkbnr/ppp1pppp/8/3p4/2P5/8/PP1PPPPP/RNBQKBNR
1. c4 d5 2. cxd5 e6,A10,English Opening: Anglo-Scandinavian Defense; L?n Gambit,rnbqkbnr/ppp2ppp/4p3/3P4/8/8/PP1PPPPP/RNBQKBNR
1. c4 d5 2. cxd5 Qxd5 3. Nc3 Qa5,A10,English Opening: Anglo-Scandinavian Defense; Malvinas Variation,rnb1kbnr/ppp1pppp/8/q7/8/2N5/PP1PPPPP/R1BQKBNR
1. c4 d5 2. cxd5 Nf6,A10,English Opening: Anglo-Scandinavian Defense; Schulz Gambit,rnbqkb1r/ppp1pppp/5n2/3P4/8/8/PP1PPPPP/RNBQKBNR
1. c4 g6,A10,English Opening: Great Snake Variation,rnbqkbnr/pppppp1p/6p1/8/2P5/8/PP1PPPPP/RNBQKBNR
